               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.022549,             0.14895,           0.0042141,             0.97535,             0.94675,             0.98291,             0.86662,            0.015971,            0.068737,           0.0019835,           0.0073733,           0.0073733,           0.0073733
                 111,            0.024216,             0.15707,           0.0044459,             0.95392,             0.92848,             0.97173,             0.80269,            0.019309,            0.076866,           0.0021237,           0.0073303,           0.0073303,           0.0073303
                 112,            0.022514,             0.14959,            0.004223,             0.96909,             0.94094,             0.97885,             0.84844,            0.017226,            0.070057,           0.0020143,           0.0072872,           0.0072872,           0.0072872
                 113,            0.022247,             0.14766,            0.004154,             0.97686,             0.94832,             0.98387,             0.86375,            0.016057,            0.067761,            0.001973,           0.0072438,           0.0072438,           0.0072438
                 114,            0.022025,              0.1463,           0.0041848,             0.97901,             0.95037,             0.98458,              0.8711,            0.015695,            0.066607,            0.001941,           0.0072003,           0.0072003,           0.0072003
                 115,             0.02169,             0.14604,           0.0041543,             0.97974,             0.95029,             0.98405,             0.87071,            0.015606,            0.065715,           0.0019287,           0.0071566,           0.0071566,           0.0071566
                 116,             0.02185,             0.14496,           0.0040703,             0.97851,             0.95044,              0.9833,             0.87291,            0.015421,            0.064991,           0.0019155,           0.0071127,           0.0071127,           0.0071127
                 117,             0.02144,             0.14352,           0.0040641,             0.97942,             0.95037,             0.98376,             0.87204,            0.015543,            0.064664,           0.0019161,           0.0070686,           0.0070686,           0.0070686
                 118,            0.021412,             0.14069,           0.0041159,             0.97801,             0.94787,             0.98329,              0.8733,            0.015651,            0.064816,           0.0019067,           0.0070243,           0.0070243,           0.0070243
                 119,            0.021632,             0.14347,           0.0039878,             0.97904,             0.95164,             0.98391,             0.87089,            0.015645,            0.064987,           0.0019121,           0.0069799,           0.0069799,           0.0069799
                 120,            0.021306,             0.14247,           0.0040557,             0.97839,             0.95219,             0.98409,             0.86968,            0.015612,            0.065003,           0.0019129,           0.0069353,           0.0069353,           0.0069353
                 121,            0.021529,             0.14074,           0.0041596,             0.97949,             0.95055,             0.98364,             0.87535,            0.015282,            0.064103,           0.0019133,           0.0068906,           0.0068906,           0.0068906
                 122,            0.021514,             0.14423,           0.0041336,             0.97921,             0.95354,             0.98403,             0.87168,            0.015609,            0.064398,           0.0019117,           0.0068457,           0.0068457,           0.0068457
                 123,            0.021665,             0.14214,           0.0041036,             0.97993,             0.95226,             0.98396,             0.86971,            0.015708,            0.064696,           0.0019046,           0.0068006,           0.0068006,           0.0068006
                 124,            0.021111,             0.14307,           0.0040297,             0.97762,             0.95407,             0.98444,             0.86949,             0.01579,            0.064714,           0.0019144,           0.0067555,           0.0067555,           0.0067555
                 125,            0.021276,             0.14327,           0.0041022,             0.97772,              0.9542,             0.98478,             0.87522,            0.015477,            0.064263,           0.0018995,           0.0067101,           0.0067101,           0.0067101
                 126,            0.021176,             0.14071,           0.0040144,             0.97851,              0.9551,             0.98484,             0.86333,            0.016059,            0.065964,           0.0019171,           0.0066647,           0.0066647,           0.0066647
                 127,            0.021235,             0.14037,           0.0039666,             0.98058,             0.95495,              0.9856,             0.86977,            0.015548,            0.064922,           0.0019077,           0.0066191,           0.0066191,           0.0066191
                 128,            0.020994,              0.1397,           0.0041175,             0.97889,             0.95522,             0.98501,             0.86941,            0.015523,            0.064545,           0.0019032,           0.0065734,           0.0065734,           0.0065734
                 129,            0.021382,             0.14263,           0.0041607,             0.97923,             0.95591,             0.98534,             0.87062,            0.015447,            0.064421,           0.0018838,           0.0065276,           0.0065276,           0.0065276
                 130,            0.021193,             0.14167,           0.0039426,             0.98085,             0.95551,             0.98523,             0.87487,            0.015303,            0.063694,            0.001877,           0.0064816,           0.0064816,           0.0064816
                 131,             0.02083,             0.14043,           0.0039485,             0.98095,               0.957,             0.98582,             0.87182,            0.015442,             0.06412,           0.0018778,           0.0064356,           0.0064356,           0.0064356
                 132,            0.021121,             0.14081,           0.0039308,             0.98277,             0.95642,             0.98614,             0.87123,            0.015427,            0.064201,           0.0018863,           0.0063895,           0.0063895,           0.0063895
                 133,            0.021067,             0.14135,           0.0040203,             0.97951,             0.95863,             0.98599,             0.86348,            0.015888,            0.065247,           0.0018942,           0.0063432,           0.0063432,           0.0063432
                 134,            0.020805,             0.13991,           0.0040292,             0.97985,             0.95891,             0.98586,             0.86055,            0.016073,            0.065406,           0.0018909,           0.0062969,           0.0062969,           0.0062969
                 135,            0.020717,             0.13756,           0.0039521,             0.97968,             0.95926,             0.98579,             0.86079,            0.015915,             0.06528,           0.0018833,           0.0062505,           0.0062505,           0.0062505
                 136,            0.020797,             0.13754,           0.0039764,             0.98045,              0.9587,             0.98567,             0.86425,            0.015789,            0.065142,           0.0018777,            0.006204,            0.006204,            0.006204
                 137,            0.020655,             0.13891,           0.0039595,             0.98078,             0.95892,             0.98584,             0.86741,            0.015628,            0.064588,           0.0018683,           0.0061574,           0.0061574,           0.0061574
                 138,            0.020617,             0.13738,           0.0039733,             0.98014,             0.95939,             0.98584,             0.86731,              0.0156,            0.064102,            0.001858,           0.0061107,           0.0061107,           0.0061107
                 139,            0.020946,             0.13996,            0.003979,             0.98147,             0.95959,             0.98622,             0.86926,            0.015464,            0.063787,            0.001855,            0.006064,            0.006064,            0.006064
                 140,            0.020349,             0.13796,           0.0040195,              0.9815,             0.95906,             0.98601,             0.87101,            0.015388,            0.063609,           0.0018549,           0.0060172,           0.0060172,           0.0060172
                 141,            0.020586,              0.1389,           0.0040069,             0.98061,             0.95965,             0.98587,             0.86762,            0.015554,            0.064329,             0.00186,           0.0059704,           0.0059704,           0.0059704
                 142,            0.020501,             0.13771,           0.0039755,             0.97989,             0.95988,             0.98577,             0.87043,            0.015455,            0.064122,           0.0018559,           0.0059235,           0.0059235,           0.0059235
                 143,            0.020445,             0.13572,           0.0038873,             0.97999,             0.95796,             0.98553,             0.87365,            0.015391,            0.063562,           0.0018491,           0.0058766,           0.0058766,           0.0058766
                 144,             0.02072,             0.13811,           0.0039817,             0.98014,             0.95798,             0.98553,             0.87567,            0.015235,            0.063239,           0.0018442,           0.0058296,           0.0058296,           0.0058296
                 145,            0.020423,             0.13663,           0.0039568,             0.98363,             0.95782,             0.98603,             0.87569,            0.015219,            0.062966,           0.0018402,           0.0057826,           0.0057826,           0.0057826
                 146,            0.020553,             0.13885,           0.0039816,             0.98198,             0.95988,             0.98619,               0.874,            0.015325,            0.063259,           0.0018418,           0.0057355,           0.0057355,           0.0057355
                 147,            0.020541,              0.1393,           0.0040363,             0.97996,             0.95986,              0.9864,             0.86714,            0.015658,            0.064356,            0.001849,           0.0056884,           0.0056884,           0.0056884
                 148,            0.020646,             0.13716,           0.0039368,             0.98113,             0.95863,             0.98642,             0.87014,            0.015481,            0.064155,             0.00185,           0.0056413,           0.0056413,           0.0056413
                 149,            0.020371,             0.13564,           0.0038479,             0.98014,             0.96009,             0.98627,             0.86834,            0.015593,            0.064485,           0.0018573,           0.0055942,           0.0055942,           0.0055942
